epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,253.198,0.9273,1.07107,1.13888,0.90214,0.90242,0.93951,0.66699,0.90564,1.0254,1.10852,0.00144145,0.00144145,0.00144145
43,259.206,0.91555,0.99986,1.11661,0.84938,0.91111,0.93455,0.66892,0.91142,0.98895,1.10226,0.00143595,0.00143595,0.00143595
44,265.178,0.87711,1.00278,1.11909,0.92686,0.89092,0.95214,0.69548,0.94224,0.96109,1.09375,0.00143045,0.00143045,0.00143045
45,271.207,0.84754,1.01539,1.07855,0.99562,0.87778,0.95891,0.72523,0.94207,0.91384,1.08273,0.00142495,0.00142495,0.00142495
46,277.223,0.85648,0.92178,1.06509,0.96489,0.91224,0.96795,0.72423,0.91957,0.91201,1.0611,0.00141945,0.00141945,0.00141945
47,283.226,0.92079,0.94708,1.08927,0.92443,0.92985,0.96628,0.69536,0.97216,0.86106,1.0785,0.00141395,0.00141395,0.00141395
48,289.207,0.8293,1.01424,1.05949,0.99463,0.88977,0.96273,0.7143,0.95851,0.86369,1.06504,0.00140845,0.00140845,0.00140845
49,295.192,0.88536,0.93116,1.05353,0.95158,0.87222,0.9486,0.72184,0.9655,0.87415,1.07209,0.00140295,0.00140295,0.00140295
50,301.268,0.89926,0.90286,1.07702,0.91636,0.8989,0.9388,0.68247,1.0001,0.88319,1.12923,0.00139745,0.00139745,0.00139745
51,307.26,0.88613,1.17286,1.05475,0.97326,0.89346,0.94113,0.6761,1.0453,0.95566,1.14215,0.00139195,0.00139195,0.00139195
52,313.265,0.8464,1.04329,1.03487,0.99696,0.90443,0.96415,0.71116,0.95404,0.86313,1.0896,0.00138644,0.00138644,0.00138644
53,319.282,0.86768,0.90418,1.08025,0.94262,0.88698,0.95085,0.69189,0.94514,0.86765,1.08235,0.00138094,0.00138094,0.00138094
54,325.296,0.8449,0.81636,1.03987,0.94573,0.89807,0.94946,0.68557,0.94172,0.84333,1.07902,0.00137544,0.00137544,0.00137544
55,331.279,0.83404,0.93476,1.10507,0.93997,0.90062,0.95503,0.69838,0.91861,0.82685,1.05705,0.00136994,0.00136994,0.00136994
